wingcrd	flatwing	tarsus	head	culmen	nalospi	wt	bandstat	initials	Year	Month	Day	Location	SpeciesCode	Sex	Age
55	56	21.3	30.9	12.7	9.8	18.5	1	6	2003	7	3	8	1	4	1
56	58	20.4	31	12.7	9.1	18.5	1	4	2003	6	3	8	1	4	1
59	60	21.9	31.5	12.8	9.1	18.5	2	2	2002	6	26	7	1	4	1
59.5	61	20.5	31.5	13.3	9	18.5	1	4	2003	6	5	8	1	4	1
58	59	20.8	31.6	13.4	9.1	18.5	2	2	2002	7	9	7	1	4	1
55	55.5	21	32.2	12.9	9.7	18.5	1	3	2003	8	7	8	1	4	1
57	58	20.2	30.8	12.9	8.8	18.5	1	2	2003	6	5	8	1	5	1
56	57	21.2	31.2	13.5	9.1	18.5	2	7	2004	7	15	9	1	5	1
54	55	21.5	31.6	13	9.7	18.5	1	5	2004	7	19	1	1	5	1
55	56	20.6	31.7	12.9	9.6	18.5	1	3	2003	6	26	11	1	5	1
59	60	20	31.7	13.4	10	18.5	1	1	2002	9	3	5	1	5	1
54	55	21.6	31.7	13.5	9.6	18.5	1	3	2003	6	29	10	1	5	1
57	58.5	21.2	31.8	13.6	9.6	18.5	1	4	2003	6	19	8	1	5	1
55.5	56	20.8	32	13.8	9.3	18.5	1	2	2003	6	24	7	1	5	1
55	56	21.6	32.1	13.4	9.5	18.5	1	4	2003	7	1	7	1	5	1
53.5	55	20.1	32.1	13.7	9.8	18.5	1	2	2004	7	30	3	1	5	1
61	62	20.5	31.3	12	8.8	18.6	1	3	2002	7	17	5	1	0	2
59	60	22.4	31.5	12.7	8.5	18.6	1	7	2004	8	4	7	1	0	2
58	59	20.7	31.8	12.6	9.3	18.6	1	2	2004	8	11	6	1	0	2
57	58	20.9	31.9	13.4	9.5	18.6	1	2	2002	9	5	9	1	0	1
56	58	21.6	31.1	13.1	9.3	18.6	1	1	2003	7	24	8	1	4	1
56	57	20.8	31.5	12.9	9	18.6	1	2	2003	6	11	11	1	4	1
58.5	60	20.8	31.7	12.8	9.2	18.6	1	2	2003	7	18	8	1	4	1
58	59	20.5	31.8	12.8	10.2	18.6	1	6	2003	7	8	11	1	4	1
58	59	21.5	32.9	13.4	10.3	18.6	1	6	2003	6	27	8	1	4	1
56	57	19.6	31	12.8	9.3	18.6	1	2	2002	6	13	9	1	5	1
54	55	20.2	31.4	12.5	9.1	18.6	1	2	2002	7	9	7	1	5	1
55	56	20.7	31.8	13.5	10	18.6	1	3	2002	6	26	7	1	5	1
55	56	20.7	32.2	13.7	9.8	18.6	1	2	2002	6	29	9	1	5	1
56	57	21.1	32.3	13.5	9.7	18.6	1	0	2003	7	30	7	1	5	1
58	59	21.8	28.8	11.4	8.9	18.7	1	9	2004	8	10	7	1	0	2
56.5	58	21.1	29.1	11	7.1	18.7	1	2	2002	7	19	5	1	0	2
55	56	20.1	30.7	12.1	8.9	18.7	1	2	2002	10	4	4	1	0	2
55	56	20.6	31.3	12.1	9	18.7	1	2	2002	9	3	5	1	0	2
55	57	22.1	31.3	12.3	8.8	18.7	1	2	2002	5	29	5	1	0	1
58.5	60	21.4	31.4	12.1	9.2	18.7	1	3	2002	10	4	4	1	0	2
58	58.5	21.9	32.2	13	9.3	18.7	1	7	2004	8	4	7	1	0	2
58	59	21.7	32.4	12	9.4	18.7	1	3	2002	7	27	9	1	0	2
59	60	21.3	32.4	13.3	9.6	18.7	1	2	2002	8	21	7	1	0	2
56.5	58	22.3	32.5	13.8	10.5	18.7	1	3	2003	7	30	7	2	0	2
58	61	21.9	32.7	13.4	9.7	18.7	1	1	2003	8	13	7	1	0	2
60	61.5	23.4	33	14.4	10.3	18.7	1	9	2004	8	12	9	2	0	2
56	57	21	31.4	12.6	9.1	18.7	1	2	2003	8	4	8	1	4	1
58	59	20.5	31.8	12.7	9.5	18.7	1	6	2003	7	31	9	1	4	1
54	55	21.1	21.1	13.1	9.6	18.7	1	8	2002	7	27	9	1	5	1
54.5	55	21.2	30.9	12.7	9.1	18.7	1	4	2003	6	3	8	1	5	1
55.5	56.5	21.3	31.8	13.5	9.3	18.7	1	7	2004	7	26	7	1	5	1
58	59	21.1	30.7	11.2	7.6	18.8	1	7	2004	7	21	7	1	0	2
58	59.5	21.4	31	11.4	8.3	18.8	1	3	2003	7	24	8	1	0	2
59	60	22.3	31.2	12.3	9.2	18.8	1	2	2002	9	19	4	1	0	1
60	61	22.4	31.3	12.4	8.7	18.8	2	2	2002	7	19	5	1	0	2
56	57	21.4	31.5	12.4	9.5	18.8	1	2	2002	8	19	7	1	0	1
59	60	22.1	31.5	12.8	8.9	18.8	1	3	2004	8	11	6	1	0	2
60	62	19.1	31.5	12.9	9.5	18.8	1	1	2002	9	30	7	1	0	1
58.5	60	21.8	31.9	12.9	8.9	18.8	1	3	2004	8	2	1	1	0	2
58	59	20.4	32	12.5	9.3	18.8	1	3	2002	9	19	4	1	0	1
59	60	20.1	30.9	12.3	9.5	18.8	1	3	2003	6	3	8	1	4	1
56	57	20.7	31.4	13	9.1	18.8	1	4	2003	6	2	9	1	4	1
54.5	55.5	21.2	31.5	12.6	9.5	18.8	1	8	2002	8	19	7	1	4	1
58	60	21.2	31.6	13.2	9.6	18.8	1	1	2003	7	24	8	1	4	1
56.5	57.5	21.4	31.9	13.1	9.5	18.8	1	3	2003	6	19	8	1	4	1
59	60	21.7	31.9	13.2	9.4	18.8	1	6	2003	6	19	8	1	4	1
58	59.5	21.6	32.2	14.1	9.2	18.8	1	4	2003	6	27	8	1	4	1
55	56	20.6	30.5	12.6	9.9	18.8	1	5	2004	6	14	7	1	5	1
56	56.5	20.3	31	12.5	9.2	18.8	1	2	2004	6	19	1	1	5	1
54	55	22.1	31.1	12.5	9.2	18.8	1	3	2003	7	1	7	1	5	1
56	56.5	20.4	31.2	13.1	9.6	18.8	1	5	2004	6	9	7	1	5	1
56	57	20.2	31.4	12.9	9.1	18.8	1	2	2003	6	20	8	1	5	1
57	58.5	21.2	31.5	12.4	9	18.8	2	2	2002	6	24	7	1	5	1
53	54	20.5	31.5	12.7	9.3	18.8	1	2	2003	8	1	8	1	5	1
53.5	54.5	21.2	31.8	12.8	9.1	18.8	1	7	2004	6	14	7	1	5	1
54	55	21.3	32.2	13.1	9.5	18.8	1	3	2004	7	2	1	1	5	1
54	55	21.3	32.6	13.7	9.5	18.8	1	4	2003	7	16	7	1	5	1
56	57	21.1	32	11.7	9	18.9	1	8	2002	6	8	9	1	4	1
55	56	19.5	30.5	12	9	18.9	1	8	2002	6	9	9	1	5	1
57	58	21	32.1	13.2	9.7	18.9	1	6	2003	7	22	7	1	5	1
56	57	20.1	31.2	12.3	9.4	19	1	2	2002	6	2	5	1	0	1
59.5	60.5	21.6	31.7	13.1	9.7	19	1	6	2003	7	30	7	2	0	2
59	60	21.8	32.4	13.7	10.2	19	2	2	2003	8	28	7	1	0	2
59	60	21.5	30.6	12.9	9	19	1	2	2003	6	5	8	1	4	1
56	57	21.9	30.6	13.3	9.8	19	1	5	2004	6	22	7	1	4	1
58	60	21.8	30.8	12.3	8.5	19	1	2	2002	6	8	9	1	4	1
58.5	60	20.8	31	12.9	9.9	19	1	6	2003	7	2	8	1	4	1
60	61	21.5	31.2	12.2	9.1	19	1	7	2004	6	1	3	1	4	1
56	58	20.9	31.2	12.5	9.5	19	1	3	2002	6	25	9	1	4	1
57	59	21.7	31.3	10.8	9.1	19	1	8	2002	6	8	9	1	4	1
58.5	59.5	20.7	31.3	11.8	9.4	19	1	8	2002	6	3	9	1	4	1
58.5	60	20.8	31.3	12.7	9	19	1	4	2003	6	29	10	1	4	1
58	59	21	31.4	12.5	9.3	19	1	5	2004	7	15	9	1	4	1
57.5	59	21.5	31.5	12.3	9.2	19	1	6	2003	6	3	8	1	4	1
58	59	20.7	31.7	12	8.8	19	1	8	2002	6	10	5	1	4	1
57	57.5	20.6	31.7	12.4	9.6	19	1	6	2003	7	30	7	1	4	1
56	57	20.6	31.7	12.9	9	19	1	2	2003	7	14	11	1	4	1
55	56	21	31.8	13	9.3	19	1	4	2003	7	19	8	1	4	1
55	56	21.1	31.8	13.1	9.4	19	1	4	2003	8	7	8	1	4	1
59.5	60.5	20.8	32	12	9.5	19	1	3	2002	6	9	9	1	4	1
55.5	56.5	21.4	32	13	9.7	19	1	3	2003	7	17	9	1	4	1
58.5	59.5	20.9	32.6	13.5	10	19	1	3	2002	7	23	9	1	4	1
60	61	21.6	30.9	12.6	9	19	1	2	2003	8	28	7	1	5	1
54	55	20	31.3	12.3	9	19	1	2	2004	6	14	7	1	5	1
55	56	20.1	31.3	12.7	9.9	19	1	6	2003	6	10	8	1	5	1
56	57	20.6	31.4	12.3	9.1	19	1	8	2002	6	3	9	1	5	1
57	58	21.7	31.6	13	9.4	19	1	2	2002	6	21	5	1	5	1
56	56.5	21.7	31.8	12.9	9.8	19	1	5	2004	6	4	6	1	5	1
53	54.5	20.5	31.9	12.9	9.6	19	1	6	2003	6	27	8	1	5	1
54	55	21.7	32	13	9.4	19	1	5	2004	8	2	1	1	5	1
57	58	21.4	32.4	13.9	9.5	19	1	4	2003	6	6	11	1	5	1
57	58	21.4	31	12.1	8.4	19.1	1	3	2002	8	9	7	1	0	2
54	55	21	31.5	12.5	9.5	19.1	1	2	2002	9	20	5	1	0	1
57	58	20.2	30.4	11.9	9.4	19.1	1	3	2002	6	25	9	1	4	1
58	59	20.5	31.5	12.7	9.3	19.1	1	2	2004	7	26	7	1	4	1
57	58	20.5	31.5	12.7	9.5	19.1	1	3	2002	6	13	9	1	4	1
57	58	19.9	31.7	12.9	9.5	19.1	1	6	2003	7	9	8	1	4	1
57	58	20.7	31.8	13.1	9.1	19.1	1	2	2003	8	5	7	1	4	1
56	57	22	32.1	12.5	9.7	19.1	1	4	2003	8	4	8	1	4	1
58	59	21.3	32.3	12.3	9.6	19.1	1	3	2002	6	13	9	1	4	1
58.5	60	21.8	32.3	12.8	9.9	19.1	1	6	2003	8	7	8	1	4	1
58	60	20.8	32.3	13.4	9.7	19.1	1	2	2003	7	14	11	1	4	1
54	55.5	21.1	30.8	12.4	8.4	19.1	1	4	2003	6	3	8	1	5	1
55	57	20.7	31.2	12.7	9.1	19.1	2	2	2002	6	19	5	1	5	1
54.5	55.5	21.2	31.7	12.6	9.6	19.1	1	3	2003	6	6	11	1	5	1
55	56.5	20.8	31.9	13.6	9.4	19.1	1	8	2002	8	20	7	1	5	1
55	56	21.5	30.3	10.9	7.6	19.2	1	3	2004	7	12	7	1	0	2
60	61	22.2	30.6	11.8	8.3	19.2	1	6	2003	8	13	7	1	0	2
58.5	59.5	21.2	30.9	11.7	8.5	19.2	1	3	2003	8	7	8	1	0	2
58	60	21.2	33.5	13.6	10.2	19.2	1	1	2002	10	15	11	1	0	1
59	60	21.1	30.8	12.1	9.2	19.2	1	6	2003	6	19	8	1	4	1
55	56	21.6	31	12.8	8.9	19.2	1	3	2002	6	12	9	1	4	1
56.5	57.5	21.6	31.1	12.7	9.5	19.2	1	6	2003	6	9	8	1	4	1
57	58	20.8	31.2	13.2	8.8	19.2	1	2	2003	7	15	10	1	4	1
59	60	22.1	31.2	13.5	9	19.2	1	7	2004	6	3	2	1	4	1
56	57	20.6	31.4	12.2	9.1	19.2	1	4	2003	7	24	8	1	4	1
60	61	21	31.4	12.5	9.1	19.2	1	2	2003	6	9	8	1	4	1
56	57	20.7	31.4	12.8	9.4	19.2	1	4	2003	6	11	11	1	4	1
59	60	21.8	31.4	13	9.7	19.2	1	3	2003	6	9	8	1	4	1
56	57	21.2	31.5	11.9	8.8	19.2	1	2	2002	6	25	9	1	4	1
58	58.5	21.6	31.5	12.6	9.3	19.2	1	7	2004	6	5	1	1	4	1
60	60.5	21.8	31.6	13.1	9.2	19.2	1	7	2004	6	11	5	1	4	1
58	59	20.5	31.7	12.5	9.6	19.2	1	3	2003	7	10	8	1	4	1
58	59	21.2	31.7	13.2	9.1	19.2	1	8	2002	6	26	7	1	4	1
57	58	20.1	31.7	13.6	8.5	19.2	1	4	2003	6	5	8	1	4	1
57	58.5	22.4	31.8	12.5	9	19.2	2	8	2002	6	23	7	1	4	1
58	60	20.8	31.8	13.1	9.1	19.2	1	4	2003	6	5	8	1	4	1
57	58	20.7	32	12.7	9.7	19.2	1	6	2003	6	29	10	1	4	1
57	58	21.2	32	13.5	10	19.2	1	3	2003	6	25	8	1	4	1
59	60.5	21.1	32.1	12.2	9.5	19.2	1	8	2002	5	29	5	1	4	1
57	58	21.4	32.1	12.7	9.4	19.2	1	3	2003	7	19	8	1	4	1
57	58	21.2	32.2	12.8	8.9	19.2	1	2	2003	6	3	8	1	4	1
56.5	58	21.5	32.4	13.3	10	19.2	1	3	2003	6	29	10	1	4	1
57	58	20.8	32.5	13.4	10.1	19.2	1	3	2002	6	26	7	1	4	1
55	56	21	29.4	13.1	8.9	19.2	1	5	2004	6	10	2	1	5	1
54.5	55	21.2	30.5	12.5	9.5	19.2	1	3	2003	7	19	8	1	5	1
56	57.5	21	31	13	9.2	19.2	1	8	2002	6	26	7	1	5	1
56	57	21	31.2	13	9.3	19.2	1	2	2004	6	1	3	1	5	1
56	57	21.9	31.3	12.2	10.1	19.2	1	3	2002	6	8	9	1	5	1
56	57	21	31.4	12.8	9	19.2	1	2	2002	6	11	5	1	5	1
55	56	21.7	31.4	13.1	9	19.2	1	2	2004	6	13	9	1	5	1
52	53	20.6	31.5	12.5	9	19.2	1	4	2003	7	18	8	1	5	1
56.5	57.5	21.7	31.6	12.7	8.7	19.2	1	2	2002	6	10	5	1	5	1
55.5	56	21.8	31.6	13.4	9.7	19.2	1	3	2004	6	13	9	1	5	1
57	58.5	21.3	31.7	12.6	9	19.2	1	4	2003	7	17	9	1	5	1
55	56	20.9	32.1	13.5	9.6	19.2	1	4	2003	6	10	8	1	5	1
54.5	55.5	20.8	32.2	12.7	9.3	19.2	1	7	2004	6	11	5	1	5	1
54.5	55.5	22	33.1	14.4	11.8	19.2	1	3	2002	6	25	9	2	5	1
56	57	18.9	31.6	12.4	9.3	19.3	1	1	2002	9	12	11	1	0	2
58	59	20.2	31.7	12.9	9.4	19.3	2	1	2002	10	15	11	1	0	2
56	57.5	20.7	31.5	13.2	9.3	19.3	1	2	2003	8	6	11	1	4	1
59	60	21.1	31.7	12.5	9.3	19.3	1	9	2004	7	26	7	1	4	1
60	61	21.9	31.7	12.8	9.4	19.3	1	3	2004	7	15	9	1	4	1
57	58	20.8	31.8	12.9	9.6	19.3	1	2	2003	8	13	7	1	4	1
60	61	21.9	31.8	13.4	9	19.3	1	2	2003	6	10	8	1	4	1
58	59	20.4	32	13.2	9.2	19.3	1	7	2004	6	10	2	1	4	1
57.5	58	21.9	32.1	13.1	9.3	19.3	1	2	2004	8	9	5	1	4	1
56	57	21.6	32.3	12.9	10.1	19.3	1	3	2002	7	8	9	1	4	1
56	57	22	32.3	13.1	9.5	19.3	1	8	2002	7	26	7	1	4	1
57	58	20.6	32.4	13.7	9.6	19.3	1	2	2004	6	11	5	1	4	1
55	56	21.6	31.5	12.4	9.6	19.3	1	3	2003	6	7	7	1	5	1
56	57	20.8	31.5	13	9.2	19.3	1	1	2002	6	4	9	1	5	1
57.5	59	21.3	32.4	13.7	9.5	19.3	1	2	2003	7	29	10	1	5	1
56	57	19.9	29.8	11.3	8	19.4	1	3	2002	7	3	5	1	0	2
58	59	20.8	31	12.2	9	19.4	1	3	2002	10	4	4	1	0	2
53	55	20.7	31.5	12.2	9.2	19.4	1	1	2002	10	1	11	1	0	2
59	61	21.3	30.6	12	8.8	19.4	1	2	2002	5	29	5	1	4	1
56	57	20.6	31.2	12.7	8.8	19.4	1	2	2003	8	1	8	1	4	1
59	60	21.7	31.6	12.9	9.2	19.4	1	3	2003	6	20	8	1	4	1
56	57	20.9	31.6	13	9.3	19.4	1	5	2004	6	11	5	1	4	1
56	57	21.4	31.6	13	9.5	19.4	1	2	2003	7	29	10	1	4	1
59	59.5	21.8	31.8	12.8	9.2	19.4	1	4	2003	7	1	7	1	4	1
59.5	60	20.6	31.8	13.7	9.2	19.4	1	2	2003	7	2	8	1	4	1
58	59	21	31.9	12.4	10	19.4	1	3	2003	6	9	8	1	4	1
58.5	59.5	21.5	31.9	13.3	9.1	19.4	1	2	2003	6	7	7	1	4	1
59	60	21	31.9	13.4	9.7	19.4	1	2	2004	6	28	7	1	4	1
57	57.5	22.2	32	12.7	9.1	19.4	1	4	2003	7	2	8	1	4	1
57	58	20.9	32	13.9	9.4	19.4	1	1	2002	8	6	7	1	4	1
58	60	21.4	32.1	13.8	9.6	19.4	1	1	2003	7	24	8	1	4	1
57	57.5	20.7	32.1	13.8	9.8	19.4	1	7	2004	8	2	1	1	4	1
57	58.5	21.7	32.6	12.8	9.3	19.4	1	2	2003	7	31	9	1	4	1
55	56	20.4	30.5	12.9	9.4	19.4	1	1	2003	7	8	11	1	5	1
57	58	19.7	30.7	12.2	8.7	19.4	1	2	2003	6	9	8	1	5	1
55.5	56.5	20.3	31.7	13.4	9.2	19.4	1	8	2002	6	25	9	1	5	1
55	56	21.1	31.9	13.4	10	19.4	1	3	2003	7	23	11	1	5	1
57	58	21.6	31.5	12.4	9	19.5	1	5	2004	8	2	1	1	0	2
58	59	21.7	32.2	13.9	10.3	19.5	1	3	2002	10	1	11	1	0	1
57	58	21.7	33.5	14.2	10.2	19.5	1	2	2003	6	7	7	2	0	1
59	60	21.4	29.8	13.5	9.2	19.5	1	5	2004	6	14	7	1	4	1
59	60	21	30.1	12.2	9.5	19.5	1	3	2003	6	11	11	1	4	1
57	58	20.7	30.5	13.5	9.5	19.5	1	6	2003	7	8	11	1	4	1
57.5	59.5	20.4	31.1	12.2	10.3	19.5	1	6	2003	6	9	8	1	4	1
57.5	59	21	31.1	12.4	9.5	19.5	1	6	2003	6	25	8	1	4	1
57	58	20.9	31.1	13.6	9	19.5	1	4	2003	6	9	8	1	4	1
56.5	57	20.7	31.2	13.2	9.6	19.5	1	7	2004	6	13	9	1	4	1
58	59	21.6	31.3	13.1	9.2	19.5	1	4	2003	6	9	8	1	4	1
57.5	58	21.9	31.4	12.6	9.4	19.5	1	3	2003	6	10	8	1	4	1
57	58	21.6	31.4	13.3	9.2	19.5	1	5	2004	6	4	6	1	4	1
68	68.5	22.5	31.5	12.6	9.4	19.5	1	5	2004	6	30	3	1	4	1
57	58	20.9	31.6	13.6	9.5	19.5	1	4	2003	6	9	8	1	4	1
59	60	20.1	31.6	13.8	10.3	19.5	1	6	2003	8	13	7	1	4	1
60	61	21.8	31.7	13.2	9.3	19.5	1	2	2004	6	19	1	1	4	1
59	60	21.6	31.7	13.2	9.4	19.5	1	3	2004	6	14	7	1	4	1
57.5	59	21.4	31.8	12.1	9	19.5	1	3	2003	6	20	8	1	4	1
56	57	20.4	31.8	12.3	9.6	19.5	1	6	2003	6	21	11	1	4	1
57	57.5	21	31.8	13.4	9.4	19.5	1	7	2004	6	24	5	1	4	1
56	57	21.4	31.9	13	10	19.5	1	6	2003	6	19	8	1	4	1
57	58	21	32	12.4	9.8	19.5	1	3	2003	7	19	8	1	4	1
58.5	59.5	21.7	32.1	12.5	9.7	19.5	1	3	2003	7	10	8	1	4	1
58	58.5	20.3	32.1	12.8	10.2	19.5	1	6	2003	7	30	7	1	4	1
56.5	57.5	21.8	32.1	13.1	9.6	19.5	1	6	2003	6	19	8	1	4	1
57	58	21.1	32.1	13.3	9.7	19.5	1	6	2003	6	29	10	1	4	1
57.5	58.5	22.2	32.1	13.4	9.3	19.5	1	2	2002	6	28	9	1	4	1
60	62	22.2	32.2	12.8	9.2	19.5	1	2	2002	5	30	5	1	4	1
57	57.5	21.7	32.2	13.3	10	19.5	1	3	2004	6	17	3	1	4	1
58	59	21.2	32.3	11.4	9.4	19.5	1	8	2002	6	3	9	1	4	1
57	58	21.5	32.3	12.7	10.1	19.5	1	3	2003	7	8	11	1	4	1
56.5	57	21.4	32.3	12.9	9.3	19.5	1	2	2002	6	18	9	1	4	1
59	61.5	20.4	32.5	13.8	9.2	19.5	1	4	2003	6	6	11	1	4	1
61	62	21.1	32.6	13.1	9.4	19.5	1	0	2003	6	5	8	1	4	1
58	58.5	22.2	32.6	14.1	10.4	19.5	1	5	2004	6	28	7	1	4	1
57	58	22.3	32.7	13.3	9.9	19.5	1	3	2003	8	5	7	1	4	1
56	57	21.1	30.8	12.8	9.9	19.5	1	3	2002	6	3	9	1	5	1
54.5	55.5	20	30.8	13.4	8.5	19.5	1	0	2003	6	7	7	1	5	1
56	56.5	20.4	30.8	13.4	9.3	19.5	1	5	2004	6	14	7	1	5	1
56	57	20.5	31	13.7	9.4	19.5	1	4	2003	6	19	8	1	5	1
55	56	20.6	31.2	13.7	9.7	19.5	1	5	2004	6	22	7	1	5	1
55	56	20.5	31.4	12.8	9.1	19.5	1	8	2002	6	3	9	1	5	1
57	58.5	22.4	32.9	13.4	11	19.5	1	3	2003	8	12	10	2	5	1
59	60	21.7	30.2	11.1	7.9	19.6	1	1	2002	9	6	7	1	0	2
58	59.5	20.4	30.7	12.1	9.8	19.6	1	6	2003	7	15	10	1	4	1
59	60	20.8	30.9	13	9.1	19.6	1	2	2002	6	3	9	1	4	1
57	58	22.1	31	12.3	9	19.6	1	3	2002	8	19	7	1	4	1
58	59.5	20.8	31.5	11.9	9.2	19.6	1	6	2003	7	18	8	1	4	1
57.5	58.5	20.8	31.5	13.4	9.1	19.6	1	8	2002	6	25	9	1	4	1
56.5	57	21.6	31.6	12.9	10	19.6	1	6	2003	7	25	8	1	4	1
58	59	21.2	31.6	13	8.9	19.6	1	8	2002	6	18	9	1	4	1
57	58.5	21.7	31.7	13	9.4	19.6	1	6	2003	7	10	8	1	4	1
59	60	21.6	31.9	12.8	9.7	19.6	1	8	2002	7	9	7	1	4	1
59	60.5	21.5	32	12.7	10	19.6	1	0	2003	7	2	8	1	4	1
59	61	21.7	32.1	12.6	9.4	19.6	1	2	2002	6	25	9	1	4	1
56.5	57.5	21.5	32.1	13	9.6	19.6	1	2	2004	6	28	7	1	4	1
57.5	59	21.2	32.1	13.2	9.3	19.6	1	2	2003	7	30	7	1	4	1
57	58	21.6	32.2	12.5	9.8	19.6	1	3	2003	6	3	8	1	4	1
59.5	60.5	21.3	32.2	12.6	9.2	19.6	1	4	2003	7	18	8	1	4	1
60	62	21.2	32.2	12.6	9.4	19.6	1	9	2004	7	12	7	1	4	1
58	59	21.3	32.2	13.4	9.3	19.6	1	4	2003	6	20	8	1	4	1
58	60	21.4	32.5	12.8	9.6	19.6	1	1	2003	7	24	8	1	4	1
58	59	21.5	32.5	12.9	10	19.6	1	3	2002	6	13	9	1	4	1
57	58.5	22	33.1	13.8	9.9	19.6	1	2	2002	7	30	9	1	4	1
55	56	21.7	31.4	12.6	9.6	19.6	1	3	2003	6	10	8	1	5	1
55.5	56.5	21.5	31.9	12.5	9.2	19.6	1	3	2004	6	28	7	1	5	1
59	60	20.4	30.8	12.5	8.8	19.7	1	2	2002	6	14	9	1	4	1
60	61	21.2	30.8	12.5	9.1	19.7	1	2	2004	6	5	1	1	4	1
56	57	22.2	31.1	12.7	9.4	19.7	1	3	2003	7	23	11	1	4	1
59	59.5	21	31.1	13.5	9	19.7	1	5	2004	6	10	2	1	4	1
57.5	58.5	21.5	31.3	12.3	9.9	19.7	1	3	2003	7	14	11	1	4	1
56	57	20.5	31.3	12.5	8.9	19.7	1	8	2002	7	9	7	1	4	1
58	60	21.3	31.3	12.6	9.6	19.7	1	3	2003	7	23	11	1	4	1
58	59	21.5	31.4	12.7	9.7	19.7	1	3	2002	6	3	9	1	4	1
58	59	20.1	31.7	12.9	10	19.7	1	6	2003	7	25	8	1	4	1
57.5	58.5	21.5	31.7	13.5	9.5	19.7	1	8	2002	7	9	7	1	4	1
56	57	21.6	31.8	12.6	9	19.7	1	8	2002	7	22	7	1	4	1
58.5	59.5	21.6	31.9	12.3	9.4	19.7	1	3	2003	7	16	7	1	4	1
57.5	58.5	20.7	31.9	13.1	9.6	19.7	1	3	2002	7	25	9	1	4	1
60	61.5	21	32	13	9.5	19.7	1	3	2002	6	3	9	1	4	1
57.5	59	21	32	13.1	10.1	19.7	1	6	2003	7	25	8	1	4	1
59	60	20.3	32.3	11.4	8.9	19.7	1	8	2002	6	4	9	1	4	1
58.5	59.5	21.9	32.4	12.6	9.7	19.7	1	3	2002	6	19	5	1	4	1
55.5	56	20.8	32.4	13	9.4	19.7	1	4	2003	8	1	8	1	4	1
56.5	57.5	21.3	32.5	13.1	9.4	19.7	1	2	2004	7	29	9	1	4	1
60	61	21	32.5	13.7	9.5	19.7	1	2	2003	6	25	8	1	4	1
59	60	21.2	32.8	11.8	9.4	19.7	1	8	2002	6	9	9	1	4	1
57	58	21.1	31.1	12.5	9.6	19.7	1	3	2003	7	19	8	1	5	1
57	58	20.7	31.6	13.2	9.5	19.7	1	2	2004	6	17	3	1	5	1
55	56	20.8	31.7	12.9	9.5	19.7	1	6	2003	6	19	8	1	5	1
54.5	55.5	20.9	31.8	13.2	9.3	19.7	2	8	2002	7	10	7	1	5	1
59	61.5	23.3	34	14.4	11.1	19.7	1	2	2003	7	30	7	2	5	1
58	59	21.3	30.7	12.3	9.4	19.8	1	3	2002	10	17	4	3	0	2
54	55	21.8	31.5	12.3	9.3	19.8	1	3	2002	9	5	9	1	0	1
59	60	20.1	32.2	12.8	9.4	19.8	1	1	2002	9	12	11	1	0	2
59.5	60.5	23.1	33.2	13.4	10	19.8	1	4	2003	7	30	7	2	0	2
59	60	22.8	33.5	13.5	10	19.8	1	8	2003	8	28	7	1	0	2
59	60	20.9	30.1	12.2	9.4	19.8	1	6	2003	6	6	11	1	4	1
59	59.5	21.4	30.2	13.4	9.9	19.8	1	5	2004	6	14	7	1	4	1
59	60	20.3	31.1	12.2	9.4	19.8	1	9	2004	7	12	7	1	4	1
58	59	21.6	31.2	13.2	9.3	19.8	1	7	2004	6	14	7	1	4	1
60	61.5	21.7	31.3	12.9	9.7	19.8	1	3	2003	6	10	8	1	4	1
58	59	21.6	31.4	12.4	9.4	19.8	1	3	2003	6	24	7	1	4	1
58	59	21.4	31.5	12.7	9.2	19.8	1	6	2003	6	6	11	1	4	1
58	59	21.6	31.5	12.9	9	19.8	1	7	2004	6	3	2	1	4	1
59	60	22.2	31.5	13.2	9.5	19.8	1	5	2004	6	14	7	1	4	1
61	62	20.6	31.6	12.9	9	19.8	1	7	2004	6	3	2	1	4	1
58	59	20.9	31.7	12.9	8.6	19.8	1	2	2002	6	2	5	1	4	1
61	61.5	21.9	31.7	13.3	9.1	19.8	1	7	2004	6	19	1	1	4	1
57	58	21.4	31.7	13.4	8.9	19.8	1	4	2003	6	19	8	1	4	1
58	59	21.4	31.9	12.4	9.5	19.8	1	3	2003	6	11	11	1	4	1
58	59	20.6	31.9	12.9	10.1	19.8	1	3	2002	7	23	9	1	4	1
55	56	22.2	32	12.8	9.5	19.8	1	3	2004	7	21	7	1	4	1
56	57	21.6	32.1	12.8	9.1	19.8	1	2	2003	7	9	8	1	4	1
57	60	20.5	32.2	12.8	9.7	19.8	1	9	2004	7	26	7	1	4	1
57	58.5	21.3	32.4	13.3	9.3	19.8	1	2	2003	7	1	7	1	4	1
55.5	56	21.6	32.4	13.3	9.8	19.8	1	3	2004	6	29	9	1	4	1
58.5	59	20.6	32.5	13.3	9.4	19.8	1	2	2003	7	23	11	1	4	1
57	58.5	21	32.5	13.8	9.9	19.8	1	2	2004	7	6	2	1	4	1
58	58.5	21.5	32.6	13.6	9.4	19.8	1	2	2004	7	20	2	1	4	1
56	57	22.3	32.7	13.5	10.2	19.8	1	3	2003	8	6	11	1	4	1
60	61	21.8	31.9	14.6	10.4	19.9	1	9	2004	8	12	9	2	0	2
